"arity","dims","registers","occupancy","duration_val","duration_err"
"1",512,22,0.121511,10.643700787401572,0.038684584305213196
"2",512,24,0.212148,10.866811023622049,0.0462209552358249
"3",512,26,0.339737,11.300165354330707,0.0536410414685787
"4",512,32,0.502584,13.33806299212598,0.21082493858805865
"5",512,32,0.597419,16.375503937007878,0.2262383864954389
"6",512,40,0.554486,17.985590551181108,0.25077031653695087
"7",512,48,0.497873,20.55885826771654,0.27931565248081786
"8",512,48,0.488211,22.758503937007877,0.2585504425321748
"9",512,56,0.466719,24.8291968503937,0.22648280495963105
"10",512,56,0.470883,27.76632283464566,0.2868795411686017
"1",1024,22,0.20268,32.435732283464574,0.11207752764704694
"2",1024,24,0.280533,32.944472440944885,0.13678275132438147
"3",1024,26,0.638554,35.463015748031495,0.30235260043222123
"4",1024,32,0.816641,43.2229842519685,0.261314472845048
"5",1024,32,0.861401,52.834188976377966,0.3116609047667912
"6",1024,40,0.666702,62.633850393700776,0.27822011038253963
"7",1024,48,0.570688,73.29727559055121,0.28795369108412827
"8",1024,48,0.571081,83.12063779527558,0.335563342240207
"9",1024,56,0.518725,93.21467716535436,0.33516444392930467
"10",1024,56,0.513974,104.01923622047242,0.3821900021262782
"1",2048,22,0.205125,117.11863779527557,0.10837081178017557
"2",2048,24,0.290121,117.80723622047243,0.21966285337729702
"3",2048,26,0.847704,127.75110236220472,0.21884969237245552
"4",2048,32,0.917822,165.5589527559055,0.30024368035239424
"5",2048,32,0.925982,204.98881102362205,0.33658909366281237
"6",2048,40,0.701937,245.60368503937005,0.421826465124185
"7",2048,48,0.589237,287.0597637795275,0.43659958511808494
"8",2048,48,0.587478,327.3674960629922,0.32602662940259175
"9",2048,56,0.531079,368.77782677165357,0.4222534801512151
"10",2048,56,0.522307,409.86021259842533,0.472498990171446
